2024 Passenger Rank,Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q2-2025)
239,CMI,Champaign/Urbana,IL,597.50,597.50
240,RST,Rochester,MN,471.55,471.55
241,VRB,Vero Beach,FL,161.39,161.39
242,GUM,Guam,TT,"1,604.63","1,604.63"
243,TOL,Toledo,OH,125.27,125.27
244,IAG,Niagara Falls,NY,162.44,162.44
245,YUM,Yuma,AZ,672.74,672.74
246,PHF,Newport News/Williamsburg,VA,555.95,555.95
247,SCK,Stockton,CA,108.48,108.48
248,ITH,Ithaca/Cortland,NY,484.57,484.57
249,GRI,Grand Island,NE,339.27,339.27
250,PSM,Portsmouth,NH,186.18,186.18
251,SIT,Sitka,AK,488.82,488.82
252,CLL,College Station/Bryan,TX,609.71,609.71
253,PUW,Pullman,WA,451.36,451.36
254,HHH,Hilton Head,SC,421.47,421.47
255,FLG,Flagstaff,AZ,570.73,570.73
256,ADQ,Kodiak,AK,546.16,546.16
257,SPI,Springfield,IL,260.18,260.18
258,LWS,Lewiston,ID,590.15,590.15
259,SBY,Salisbury,MD,686.70,686.70
260,TYR,Tyler,TX,615.44,615.44
261,ACT,Waco,TX,572.39,572.39
262,MVY,Martha's Vineyard,MA,381.68,381.68
263,FSM,Fort Smith,AR,640.17,640.17
264,CSG,Columbus,GA,567.22,567.22
265,ERI,Erie,PA,449.26,449.26
266,VLD,Valdosta,GA,618.45,618.45
267,HGR,Hagerstown,MD,118.28,118.28
268,SJT,San Angelo,TX,675.11,675.11
269,ROW,Roswell,NM,587.14,587.14
270,EAT,Wenatchee,WA,517.53,517.53
271,PGV,Greenville,NC,542.25,542.25
272,YKM,Yakima,WA,538.86,538.86
273,GTR,Columbus,MS,618.17,618.17
274,LAW,Lawton/Fort Sill,OK,569.94,569.94
275,TXK,Texarkana,AR,603.64,603.64
276,MQT,Marquette,MI,551.63,551.63
277,OME,Nome,AK,596.40,596.40
278,CKB,Clarksburg/Fairmont,WV,174.05,174.05
279,GGG,Longview,TX,565.81,565.81
280,BPT,Beaumont/Port Arthur,TX,529.82,529.82
281,OTZ,Kotzebue,AK,551.40,551.40
282,SWO,Stillwater,OK,527.55,527.55
283,SLE,Salem,OR,125.56,125.56
284,ALW,Walla Walla,WA,442.11,442.11
285,DHN,Dothan,AL,717.07,717.07
286,PPG,Pago Pago,TT,"1,280.29","1,280.29"
287,LSE,La Crosse,WI,614.38,614.38
288,SCC,Deadhorse,AK,539.26,539.26
289,BRW,Barrow,AK,492.40,492.40
290,SPS,Wichita Falls,TX,548.17,548.17
291,BQK,Brunswick,GA,578.68,578.68
292,TWF,Twin Falls,ID,694.54,694.54
293,BGM,Binghamton,NY,482.16,482.16
294,CYS,Cheyenne,WY,566.00,566.00
295,BJI,Bemidji,MN,702.23,702.23
296,STC,St. Cloud,MN,150.86,150.86
297,GUC,Gunnison,CO,562.90,562.90
298,ABY,Albany,GA,665.11,665.11
299,CIU,Sault Ste. Marie,MI,596.89,596.89
300,GCC,Gillette,WY,665.63,665.63
301,COD,Cody,WY,627.03,627.03
302,GCK,Garden City,KS,553.32,553.32
303,FLO,Florence,SC,567.72,567.72
304,SHR,Sheridan,WY,638.57,638.57
305,ART,Watertown,NY,460.29,460.29
306,HOB,Hobbs,NM,466.55,466.55
307,DIK,Dickinson,ND,516.19,516.19
308,RHI,Rhinelander,WI,664.72,664.72
309,PLN,Pellston,MI,574.17,574.17
310,ABR,Aberdeen,SD,695.81,695.81
311,PIH,Pocatello,ID,713.90,713.90
312,DLG,Dillingham,AK,527.59,527.59
313,LAL,Lakeland,FL,126.54,126.54
314,SPN,Saipan,TT,500.31,500.31
315,PQI,Presque Isle/Houlton,ME,298.05,298.05
316,SBD,San Bernardino,CA,112.13,112.13
317,EAU,Eau Claire,WI,440.55,440.55
318,RKS,Rock Springs,WY,496.80,496.80
319,IMT,Iron Mountain/Kingsfd,MI,561.19,561.19
320,RIW,Riverton/Lander,WY,564.11,564.11
321,OGD,Ogden,UT,134.18,134.18
322,CMX,Hancock/Houghton,MI,529.72,529.72
323,SUX,Sioux City,IA,483.15,483.15
324,PSG,Petersburg,AK,509.91,509.91
325,BRD,Brainerd,MN,694.02,694.02
326,LAR,Laramie,WY,476.73,476.73
327,AKN,King Salmon,AK,574.06,574.06
328,ESC,Escanaba,MI,602.14,602.14
329,HYA,Hyannis,MA,444.67,444.67
330,LBF,North Platte,NE,478.32,478.32
331,BTM,Butte,MT,440.50,440.50
332,MEI,Meridian,MS,523.17,523.17
333,JST,Johnstown,PA,450.92,450.92
334,CDV,Cordova,AK,483.53,483.53
335,VCT,Victoria,TX,532.49,532.49
336,OTH,North Bend/Coos Bay,OR,514.29,514.29
337,EKO,Elko,NV,716.83,716.83
338,SLN,Salina,KS,434.72,434.72
339,SMX,Santa Maria,CA,115.92,115.92
340,HYS,Hays,KS,473.86,473.86
341,CDC,Cedar City,UT,576.97,576.97
342,APN,Alpena,MI,672.11,672.11
343,JLN,Joplin,MO,467.75,467.75
344,HIB,Hibbing,MN,645.31,645.31
345,BFF,Scottsbluff,NE,473.45,473.45
346,WRG,Wrangell,AK,553.87,553.87
347,EAR,Kearney,NE,560.99,560.99
348,DEC,Decatur,IL,464.55,464.55
349,INL,International Falls,MN,646.10,646.10
350,PRC,Prescott,AZ,700.59,700.59
351,PIR,Pierre,SD,618.50,618.50
352,ALO,Waterloo,IA,488.30,488.30
353,PIB,Hattiesburg/Laurel,MS,442.60,442.60
354,JMS,Jamestown,ND,426.17,426.17
355,DVL,Devils Lake,ND,448.08,448.08
356,DBQ,Dubuque,IA,453.18,453.18
357,LBL,Liberal,KS,422.54,422.54
358,DDC,Dodge City,KS,395.38,395.38
359,PAH,Paducah,KY,668.14,668.14
360,YAK,Yakutat,AK,473.54,473.54
361,SHD,Staunton,VA,613.33,613.33
362,LNS,Lancaster,PA,196.11,196.11
363,VEL,Vernal,UT,550.13,550.13
364,FOD,Fort Dodge,IA,354.19,354.19
365,BIH,Bishop,CA,373.69,373.69
366,ALS,Alamosa,CO,546.63,546.63
367,ATY,Watertown,SD,556.56,556.56
368,WYS,West Yellowstone,MT,403.14,403.14
369,CVN,Clovis,NM,537.59,537.59
370,CNY,Moab,UT,456.60,456.60
371,LWB,Lewisburg,WV,507.46,507.46
372,LEB,Lebanon-Hanover,NH,589.64,589.64
373,MWA,Marion/Herrin,IL,535.31,535.31
374,MCW,Mason City,IA,433.34,433.34
375,BKW,Beckley,WV,614.80,614.80
376,OGS,Ogdensburg,NY,113.78,113.78
377,MGW,Morgantown,WV,536.59,536.59
